Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,9.35,9.8725,9.3375,9.775,4.578606,747660
2002-01-03,9.8475,10.0,9.7125,9.7125,4.549332,2695880
2002-01-04,9.7125,9.9975,9.6875,9.9975,4.786314,1297372
2002-01-07,9.91,10.0625,9.8975,9.975,4.775543,921060
2002-01-08,9.9175,9.9975,9.68,9.9375,4.757589,1472784
2002-01-09,9.8775,9.9,9.675,9.675,4.631914,603980
2002-01-10,9.3525,9.5875,9.3475,9.4625,4.530183,1114848
2002-01-14,9.5725,9.5725,9.35,9.375,4.488291,603016
2002-01-15,9.325,9.4725,9.125,9.15,4.38057,1902328
2002-01-16,9.15,9.355,9.12,9.3125,4.458369,1851476
2002-01-17,9.29,9.49,9.25,9.4125,4.506245,1365572
2002-01-18,9.3775,9.4375,9.3125,9.3125,4.458369,1593636
2002-01-21,9.3525,9.4425,9.225,9.375,4.488291,844308
2002-01-22,9.3025,9.7325,9.2375,9.6,4.596009,1124860
2002-01-23,9.4025,9.5975,9.4025,9.525,4.560103,953280
2002-01-24,9.5,9.525,9.375,9.45,4.524196,486628
2002-01-25,9.5,9.6525,9.4125,9.6525,4.621143,966852
2002-01-28,9.5875,9.8125,9.5875,9.75,4.667822,886216
2002-01-29,9.75,9.825,9.6875,9.6875,4.6379,1115804
2002-01-30,9.7225,9.7225,9.525,9.5375,4.5660870000000005,904020
2002-01-31,9.6725,9.75,9.59,9.7,4.643884,796548
2002-02-01,9.75,9.835,9.725,9.8125,4.697743,1811916
2002-02-04,9.7,10.0,9.6925,9.7625,4.673806,1562108
2002-02-05,9.825,9.95,9.7275,9.8125,4.697743,1574312
2002-02-06,9.8375,9.8375,9.6625,9.8125,4.697743,895248
2002-02-07,9.8125,9.9,9.75,9.85,4.7156970000000005,660920
2002-02-08,9.8525,9.8525,9.775,9.81,4.696547,853912
2002-02-11,9.95,9.95,9.8,9.855,4.71809,748632
2002-02-12,9.8475,9.9,9.78,9.8125,4.697743,1139928
2002-02-13,9.8125,9.8725,9.75,9.75,4.667822,1422808
2002-02-14,9.7575,9.8675,9.75,9.8125,4.697743,1988224
2002-02-15,9.87,9.87,9.755,9.755,4.670217,1586832
2002-02-18,9.755,9.8625,9.6875,9.725,4.655853,1022536
2002-02-19,9.87,9.87,9.675,9.7625,4.673806,1137112
2002-02-20,9.6875,9.805,9.6875,9.755,4.670217,1290168
2002-02-21,9.7025,9.815,9.7025,9.75,4.667822,777972
2002-02-22,9.8,9.825,9.7,9.7975,4.690563,5960404
2002-02-25,9.7625,9.8125,9.725,9.7875,4.685776000000001,346468
2002-02-26,9.8225,9.8225,9.7,9.7,4.643884,385048
2002-02-27,9.725,9.8725,9.725,9.7875,4.685776000000001,922236
2002-02-28,9.75,9.9,9.725,9.8375,4.709713,1296876
2002-04-02,10.045,10.15,9.99,10.0,4.787509,1125644
2002-04-03,9.8875,10.025,9.85,9.9575,4.767163,1120948
2002-04-04,9.95,9.975,9.8875,9.975,4.878426,536732
2002-04-05,9.9,10.05,9.89,10.025,4.902879,1532272
2002-04-08,10.065,10.065,10.0175,10.025,4.902879,2012496
2002-04-09,10.0625,10.075,10.0225,10.03,4.905324,707968
2002-04-10,10.025,10.2225,10.025,10.2225,4.999469,804728
2002-04-11,10.225,10.45,10.225,10.375,5.074051,1879720
2002-04-12,10.2725,10.425,10.2725,10.35,5.061825,739896
2002-04-15,10.4375,10.5125,10.35,10.375,5.074051,634208
2002-04-16,10.425,10.525,10.425,10.5,5.135185,1629260
2002-04-17,10.5725,10.5725,10.4625,10.5,5.135185,1527016
2002-04-18,10.5,10.575,10.475,10.55,5.159637,653640
2002-04-19,10.5,10.6225,10.5,10.59,5.179199,425216
2002-04-22,10.625,10.6625,10.525,10.65,5.208543,425076
2002-04-23,10.625,10.65,10.5975,10.65,5.208543,726472
2002-04-24,10.5675,10.8,10.5675,10.775,5.2696760000000005,618060
2002-04-25,10.6125,10.73,10.5875,10.625,5.196317,852540
2002-04-26,10.75,10.775,10.45,10.45,5.11073,462040
2002-04-29,10.5,10.75,10.2525,10.6975,5.231775,445028
2002-04-30,10.72,10.775,10.565,10.625,5.196317,1173048
2002-05-02,10.625,10.935,10.625,10.875,5.318585,762592
2002-05-03,10.7425,11.15,10.7425,11.09,5.423734,1435232
2002-05-06,11.155,11.225,11.0775,11.0875,5.422511,579668
2002-05-07,11.0875,11.0875,11.0875,11.0875,5.422511,428556
2002-05-08,10.94,11.0,10.5875,10.6925,5.229331,1198328
2002-05-09,10.65,10.6725,10.4175,10.59,5.179199,1095900
2002-05-10,10.5575,10.7075,10.475,10.475,5.122959,1061444
2002-05-13,10.4125,10.85,10.265,10.7,5.2329989999999995,819468
2002-05-14,10.75,10.9875,10.715,10.975,5.367491,807528
2002-05-15,10.8925,10.9875,10.8275,10.875,5.318585,627680
2002-05-16,10.875,11.0875,10.875,11.0875,5.422511,482408
2002-05-17,10.975,11.1225,10.7825,10.83,5.296577,582536
2002-05-20,10.75,10.925,10.6625,10.6625,5.214657,306900
2002-05-21,10.575,10.715,10.275,10.3325,5.053268,820512
2002-05-22,10.385,10.75,10.36,10.75,5.257452,1068792
2002-05-23,10.6525,10.8725,10.6,10.8175,5.290463,437792
2002-05-24,10.705,11.07,10.705,11.07,5.413952,364044
2002-05-27,11.0475,11.05,10.78,10.985,5.372381,448208
2002-05-28,10.8525,11.025,10.8525,11.0,5.379716,463216
2002-05-29,10.8625,10.97,10.575,10.6375,5.202431,1052488
2002-05-30,10.5925,10.87,10.575,10.8075,5.285572,417996
2002-05-31,10.8575,10.8575,10.68,10.6975,5.231775,792232
2002-06-03,10.7,10.875,10.7,10.735,5.250114,469296
2002-06-04,10.7125,10.7575,10.58,10.675,5.220773,584576
2002-06-05,10.6275,10.78,10.5725,10.5725,5.170641000000001,864312
2002-06-06,10.7325,10.7325,10.4375,10.4375,5.104618,789988
2002-06-07,10.4225,10.5875,10.325,10.325,5.0495980000000005,885576
2002-06-10,10.375,10.5,10.2,10.2,4.988465,1033060
2002-06-11,10.285,10.5875,10.2025,10.3325,5.053268,572320
2002-06-12,10.225,10.375,10.025,10.025,4.902879,1230068
2002-06-13,10.03,10.2575,10.03,10.225,5.000693,546144
2002-06-14,10.1875,10.3,9.8125,10.0,4.890651999999999,904528
2002-06-17,10.015,10.1875,9.815,10.0575,4.918772,886800
2002-06-18,10.06,10.0825,9.8,9.815,4.800176,806424
2002-06-19,9.815,10.0475,9.815,9.9125,4.84786,1022760
2002-06-20,9.94,10.075,9.925,9.975,4.878426,655624
2002-06-21,9.94,10.0725,9.75,9.8,4.792838,929728
2002-06-24,9.8,9.8,9.7,9.775,4.7806120000000005,1211440
2002-06-25,9.69,10.025,9.69,9.8875,4.8356330000000005,1498276
2002-06-26,9.8575,9.875,9.675,9.875,4.829518,954540
2002-06-27,9.945,10.325,9.8125,10.1,4.939559,1921708
2002-06-28,10.2375,10.875,10.2175,10.6125,5.1902029999999995,1006708
2002-07-01,10.6125,10.8925,10.1925,10.5,5.135185,12222292
2002-07-02,10.86,10.86,9.925,9.925,4.853973000000001,1883316
2002-07-03,10.0375,10.1625,10.0,10.0,4.890651999999999,4282988
2002-07-04,10.0125,10.4,10.0125,10.25,5.2001230000000005,741888
2002-07-05,10.3125,10.675,10.2975,10.67,5.4132,1091164
2002-07-08,10.3475,10.76,10.3475,10.76,5.4588589999999995,10044404
2002-07-09,10.8,10.95,10.55,10.55,5.352321,2165256
2002-07-10,10.55,10.5875,10.2875,10.3875,5.269881,3223608
2002-07-11,10.25,10.25,9.9375,9.9375,5.041583999999999,901792
2002-07-12,10.125,10.175,9.8775,10.0625,5.104997,602216
2002-07-15,10.12,10.14,9.9125,10.0,5.073291,471256
2002-07-16,9.9475,10.125,9.5875,9.715,4.9287019999999995,709000
2002-07-17,9.59,9.825,9.59,9.725,4.933774,672900
2002-07-19,9.6325,9.7625,9.385,9.6625,4.902067,825352
2002-07-22,9.63,9.8125,9.35,9.8125,4.978164,592356
2002-07-23,9.8125,10.025,9.7,9.8325,4.988313,953968
2002-07-24,10.075,10.075,9.35,9.5,4.819625,1796328
2002-07-25,9.86,9.86,9.5875,9.72,4.931239,1445964
2002-07-26,9.5625,9.72,9.3,9.375,4.75621,1637848
2002-07-29,9.4725,9.8475,9.35,9.825,4.984508,1135012
2002-07-30,9.875,10.1975,9.8025,10.05,5.098658,1355852
2002-07-31,10.37,10.525,10.165,10.4375,5.295247,2044236
2002-08-01,10.4875,10.4875,9.9325,9.94,5.042851000000001,938032
2002-08-05,9.875,10.07,9.5,9.5,4.819625,1118032
2002-08-06,9.5,9.595,9.3125,9.375,4.75621,1687636
2002-08-07,9.35,9.4625,9.275,9.2875,4.7118199999999995,673164
2002-08-08,9.2775,9.375,9.25,9.375,4.75621,1148232
2002-08-09,9.355,9.4,9.2875,9.2875,4.7118199999999995,1174968
2002-08-12,9.275,9.375,9.275,9.3625,4.749867,278896
2002-08-13,9.37,9.4025,9.3125,9.325,4.730843,782800
2002-08-14,9.275,9.375,9.2675,9.375,4.75621,494952
2002-08-16,9.2525,9.3475,9.1375,9.275,4.705476,1804324
2002-08-19,9.25,9.3625,9.2025,9.3325,4.734649,358152
2002-08-20,9.375,9.375,9.2525,9.3725,4.754943,814976
2002-08-21,9.375,9.385,9.27,9.365,4.751137,795052
2002-08-22,9.4025,9.6125,9.35,9.6125,4.8767,1460668
2002-08-23,9.625,9.825,9.5775,9.6375,4.889385,578952
2002-08-26,9.6375,9.9225,9.6375,9.8475,4.995923,215448
2002-08-27,9.7125,9.925,9.6825,9.7625,4.9528,289904
2002-08-28,9.8625,9.8625,9.475,9.475,4.806943,1257176
2002-08-29,9.3775,9.5,9.375,9.4075,4.772698,421964
2002-08-30,9.345,9.5375,9.3025,9.5375,4.83865,995852
2002-09-02,9.65,9.65,9.3925,9.5875,4.864018,460384
2002-09-03,9.5025,9.5025,9.125,9.1875,4.661086,1789716
2002-09-04,9.165,9.25,9.1625,9.1875,4.661086,802496
2002-09-05,9.2875,9.2875,8.8825,8.8825,4.50635,1798932
2002-09-06,8.9,9.045,8.725,8.7625,4.445469999999999,1771708
2002-09-09,8.79,9.075,8.75,8.92,4.5253760000000005,1263240
2002-09-10,9.0,9.25,9.0,9.2,4.667427,294736
2002-09-11,9.2,9.35,9.1,9.28,4.708012,657788
2002-09-13,9.25,9.3,9.075,9.22,4.677574,592808
2002-09-16,9.0825,9.28,8.9875,9.1,4.616694,400500
2002-09-17,9.2125,9.25,8.925,8.9375,4.534253,568084
2002-09-18,8.8125,8.98,8.61,8.7,4.413764,705864
2002-09-19,8.555,8.8075,8.555,8.7,4.413764,537916
2002-09-20,8.8,8.8,8.4625,8.625,4.375712999999999,559300
2002-09-23,8.95,8.95,8.1075,8.1075,4.113171,1228252
2002-09-24,8.05,8.2475,7.7775,7.93,4.02312,1021720
2002-09-25,7.825,8.1325,7.785,8.0425,4.0801940000000005,10309080
2002-09-26,8.225,8.28,8.05,8.05,4.083998,1195036
2002-09-27,7.8775,8.0075,7.8225,7.875,3.995217,790552
2002-09-30,7.7825,7.925,7.75,7.78,3.947019,1340688
2002-10-01,7.9975,8.045,7.7875,8.045,4.081462,836696
2002-10-02,8.175,8.23,7.9375,8.23,4.175317,998544
2002-10-03,8.25,8.25,7.925,8.175,4.1474150000000005,972992
2002-10-04,8.025,8.2,7.8375,8.035,4.23168,515036
2002-10-07,7.9,8.0,7.8525,7.9175,4.169798,1045104
2002-10-08,7.9375,7.9825,7.8125,7.875,4.1474150000000005,544256
2002-10-09,7.8375,7.8625,7.5525,7.5525,3.9775690000000004,892336
2002-10-10,7.5525,7.855,7.5125,7.85,4.134248,1096352
2002-10-11,7.945,8.2075,7.775,8.0125,4.21983,657964
2002-10-14,7.92,8.135,7.915,8.0425,4.235629,477176
2002-10-15,8.1625,8.37,8.1325,8.25,4.344911,926812
2002-10-16,8.25,8.5725,8.1525,8.57,4.5134419999999995,1034152
2002-10-17,8.6625,8.875,8.555,8.87,4.671437999999999,1814688
2002-10-18,8.6875,9.0975,8.6,9.0975,4.791254,1049856
2002-10-21,9.1,9.135,8.625,8.625,4.542407,1164556
2002-10-22,8.7,8.8,8.6225,8.6225,4.5410900000000005,1355552
2002-10-23,8.6225,8.7975,8.34,8.365,4.405478,818400
2002-10-24,8.525,8.945,8.475,8.875,4.6740699999999995,1083792
2002-10-25,8.705,8.8025,8.575,8.8025,4.635889,1100352
2002-10-28,8.875,9.2275,8.875,8.9,4.6872370000000005,943568
2002-10-29,8.9,8.9,8.4025,8.45,4.450242,1609480
2002-10-30,8.4775,9.225,8.4775,9.125,4.805733999999999,1232424
2002-10-31,9.025,9.15,8.83,8.97,4.7241040000000005,10319084
2002-11-04,9.2125,9.22,8.725,8.885,4.679337,1077792
2002-11-05,8.9,8.9,8.6575,8.7175,4.5911230000000005,683924
2002-11-06,8.7375,8.875,8.635,8.845,4.658271,1111056
2002-11-07,8.75,8.9375,8.475,8.5275,4.4910559999999995,1513468
2002-11-08,8.475,8.8025,8.475,8.72,4.592438,1304428
2002-11-11,8.7475,8.7475,8.4025,8.4325,4.441026,804032
2002-11-12,8.4375,8.6025,8.4375,8.5375,4.4963239999999995,1741212
2002-11-13,8.575,8.625,8.4375,8.625,4.542407,1174408
2002-11-14,8.6625,8.75,8.6225,8.75,4.60824,1402272
2002-11-15,8.795,8.8675,8.6575,8.6575,4.559524,2645052
2002-11-18,8.8125,9.0425,8.7475,9.0,4.739903,841060
2002-11-19,8.9875,9.075,8.825,8.945,4.710938,790664
2002-11-20,9.0,9.0625,8.7525,8.7675,4.6174550000000005,815268
2002-11-21,8.8625,9.015,8.8025,9.015,4.747803,652780
2002-11-22,8.91,9.035,8.875,8.8825,4.678022,640332
2002-11-25,8.995,9.165,8.89,9.165,4.826801000000001,961740
2002-11-26,9.1575,9.38,9.0,9.38,4.940033000000001,938832
2002-11-27,9.2525,9.7,9.2075,9.7,5.108562,792588
2002-11-28,9.5875,9.81,9.5025,9.6475,5.080913,996420
2002-11-29,9.55,9.75,9.415,9.7475,5.13358,678432
2002-12-02,9.735,10.0825,9.6625,9.8625,5.1941440000000005,1605668
2002-12-03,9.85,9.85,9.525,9.72,5.119096,713832
2002-12-04,9.575,9.7675,9.5525,9.5825,5.04668,720432
2002-12-05,9.55,9.745,9.39,9.5,5.003232,412324
2002-12-09,9.53,9.63,9.5,9.615,5.063797,852232
2002-12-10,9.6125,9.71,9.505,9.675,5.095396,761880
2002-12-11,9.6,9.695,9.42,9.525,5.016397,1005940
2002-12-12,9.3125,9.34,9.1825,9.28,4.887365,15024148
2002-12-13,9.19,9.2725,8.875,8.9625,4.720154,1882044
2002-12-16,9.0,9.3375,8.925,9.03,4.755703,909304
2002-12-17,9.2125,9.25,9.01,9.1975,4.843917,1802644
2002-12-18,9.1375,9.2,8.9075,8.9225,4.6990870000000005,635216
2002-12-19,8.9375,9.0,8.63,9.0,4.739903,1175796
2002-12-20,8.9975,8.9975,8.6925,8.75,4.60824,12860464
2002-12-23,8.75,8.9225,8.68,8.8725,4.672756,638592
2002-12-27,8.8725,8.9,8.6425,8.75,4.60824,351280
2002-12-30,8.7775,8.8475,8.625,8.7475,4.606923999999999,398384
2003-01-02,8.9625,8.9625,8.6625,8.875,4.6740699999999995,574520
2003-01-03,8.9625,9.085,8.655,9.085,4.9119660000000005,1212244
2003-01-07,9.15,9.15,8.7825,8.875,4.798424,13240668
2003-01-08,8.8375,8.9875,8.7125,8.75,4.730841000000001,1383780
2003-01-09,8.75,8.8625,8.7,8.815,4.7659839999999996,1123492
2003-01-10,8.8875,9.1425,8.865,8.9775,4.853842,2238216
2003-01-13,9.0825,9.15,8.845,8.85,4.784908000000001,848752
2003-01-14,8.825,8.925,8.825,8.8525,4.786258999999999,1417892
