Date,Open,High,Low,Close,Adj Close,Volume
2010-04-29,11.0,12.0,11.0,11.9,10.065017,41145400
2010-04-30,12.0,12.68,11.75,12.0,10.149596,6160900
2010-05-03,11.67,12.0,11.5,11.8,9.980436,1819900
2010-05-04,11.8,11.86,11.225,11.63,9.83665,13126400
2010-05-05,11.5,11.6,11.36,11.45,9.684406,3478200
2010-05-06,11.49,12.0,11.38,11.58,9.794359,4026000
2010-05-07,11.37,11.4,10.75,10.75,9.092347,5873100
2010-05-10,11.52,11.87,11.4,11.6,9.811275,2003800
2010-05-11,11.61,11.61,11.04,11.5,9.726697,1549200
2010-05-12,11.49,11.98,11.27,11.75,9.938144,1903300
2010-05-13,11.8,12.475,11.66,12.4,10.487917,416600
2010-05-14,12.0,12.45,12.0,12.2,10.318757000000002,2074100
2010-05-17,12.05,12.5,12.0,12.45,10.530207,1514700
2010-05-18,12.5,13.745,12.46,12.74,10.775488000000001,782600
2010-05-19,12.77,13.0,12.4,12.4,10.487917,1056000
2010-05-20,12.4,12.7,11.53,11.95,10.107306,577000
2010-05-21,11.895,12.34,11.26,12.16,10.284924,5782100
2010-05-24,12.345,12.39,12.06,12.39,10.479459,185200
2010-05-25,12.26,12.26,11.81,11.9,10.065017,809600
2010-05-26,11.81,12.725,11.81,12.49,10.564038,4495800
2010-05-27,12.5,12.6,12.01,12.52,10.589411,1057200
2010-05-28,12.665,12.665,12.3,12.36,10.454083,365900
2010-05-31,12.36,12.36,12.205,12.35,10.445625999999999,389300
2010-06-01,12.35,12.75,12.2,12.6,10.657076,984800
2010-06-02,12.15,12.72,12.15,12.61,10.665534,849400
2010-06-03,12.615,12.84,12.615,12.77,10.800862,331400
2010-06-04,12.82,12.82,12.45,12.785,10.813547,108100
2010-06-07,12.65,12.8,12.5,12.62,10.673993,262500
2010-06-08,13.07,13.43,12.7,12.7,10.741653999999999,511200
2010-06-09,12.75,12.85,12.335,12.47,10.547122,499200
2010-06-10,12.35,12.55,12.35,12.495,10.568266,1103800
2010-06-11,12.6,12.965,12.53,12.8,10.826236,1835435
2010-06-14,12.995,12.995,12.7,12.88,10.893899000000001,857309
2010-06-15,12.72,13.05,12.61,12.9,10.910815,573304
2010-06-16,12.99,12.99,12.6,12.8,10.826236,958800
2010-06-17,12.675,12.95,12.31,12.4,10.487917,912500
2010-06-18,12.39,12.545,12.12,12.415,10.500602,1065071
2010-06-21,12.5,12.75,12.35,12.73,10.76703,410300
2010-06-22,12.62,12.89,12.29,12.7,10.741653999999999,2851402
2010-06-23,12.68,13.0,12.54,12.865,10.881213,380637
2010-06-24,13.0,13.0,12.6,12.77,10.800862,424979
2010-06-25,12.71,12.89,12.71,12.84,10.860066,198200
2010-06-28,12.95,13.25,12.755,13.2,11.164556,429800
2010-06-29,13.05,13.27,12.55,12.77,10.800862,892600
2010-06-30,12.905,13.07,12.815,13.0,10.995396000000001,1200100
2010-07-01,12.81,12.95,12.52,12.66,10.707824,265000
2010-07-02,12.75,12.76,12.24,12.29,10.394878,826428
2010-07-05,12.155,12.295,11.94,12.0,10.149596,929800
2010-07-06,12.12,12.48,12.0,12.3,10.403336999999999,701100
2010-07-07,12.25,12.47,12.25,12.375,10.466771000000001,657000
2010-07-08,12.42,12.42,12.25,12.31,10.411792,427100
2010-07-09,12.43,12.66,12.33,12.48,10.555579,642100
2010-07-12,12.495,12.705,12.38,12.505,10.576725999999999,263800
2010-07-13,12.48,12.84,12.32,12.84,10.860066,388300
2010-07-14,12.915,13.0,12.7,13.0,10.995396000000001,145600
2010-07-15,12.95,13.15,12.64,12.745,10.779717,276400
2010-07-16,12.685,12.93,12.545,12.65,10.699365,647500
2010-07-19,12.675,12.79,12.38,12.64,10.69091,614200
2010-07-20,12.8,12.8,12.515,12.8,10.826236,103100
2010-07-21,12.82,13.0,12.7,12.93,10.936192,100400
2010-07-22,12.915,13.5,12.705,13.21,11.173014,669900
2010-07-23,13.18,13.305,13.13,13.22,11.181473,99400
2010-07-26,13.28,13.75,13.0,13.43,11.359092,456100
2010-07-27,13.41,13.515,13.3,13.4,11.333715,545300
2010-07-28,13.42,13.6,13.11,13.395,11.329488000000001,369300
2010-07-29,13.325,13.815,13.185,13.5,11.418295,423000
2010-07-30,13.395,13.7,13.24,13.5,11.418295,649000
2010-08-02,13.68,13.765,13.3,13.4,11.333715,1604030
2010-08-03,13.48,13.56,12.9,13.15,11.122266,320500
2010-08-04,13.115,13.115,12.75,12.9,10.910815,365700
2010-08-05,12.88,13.14,12.88,13.115,11.092661999999999,196700
2010-08-06,13.15,13.24,13.05,13.175,11.143412,831313
2010-08-09,13.27,13.4,13.13,13.35,11.291426,233300
2010-08-10,13.25,13.45,13.14,13.16,11.130724,248000
2010-08-11,13.185,13.22,12.77,13.0,10.995396000000001,2255800
2010-08-12,12.965,13.215,12.9,12.93,10.936192,8465883
2010-08-13,13.0,13.03,12.655,12.97,10.970023,133500
2010-08-16,12.8,13.075,12.775,12.885,10.898128999999999,688310
2010-08-17,12.95,13.255,12.87,13.085,11.067289,454396
2010-08-18,13.05,13.15,12.77,13.1,11.079975,543073
2010-08-19,13.01,13.1,12.71,12.85,10.868525,488735
2010-08-20,12.84,13.12,12.615,12.615,10.669762,196018
2010-08-23,12.705,13.01,12.54,13.0,10.995396000000001,1234980
2010-08-24,13.0,13.375,12.73,12.9,10.910815,632375
2010-08-25,12.9,13.25,12.8,12.9,10.910815,552099
2010-08-26,12.85,13.18,12.85,13.0,10.995396000000001,891084
2010-08-27,12.985,13.5,12.91,13.5,11.418295,1056687
2010-08-30,13.6,13.655,13.265,13.405,11.337944,713255
2010-08-31,13.33,13.7,13.33,13.6,11.502875,1357027
2010-09-01,13.6,13.79,13.09,13.58,11.485958,2009466
2010-09-02,13.655,13.655,12.98,13.25,11.206847,1627488
2010-09-03,13.25,13.45,13.15,13.3,11.249138,1045256
2010-09-06,13.4,13.52,13.27,13.38,11.316798,652897
2010-09-07,13.36,13.36,13.075,13.22,11.181473,1185322
2010-09-08,13.21,13.305,13.05,13.23,11.18993,1548506
2010-09-09,13.21,13.235,12.97,13.04,11.029228,1570959
2010-09-10,13.04,13.1,12.9,13.0,10.995396000000001,888640
2010-09-13,13.08,13.4,13.0,13.2,11.164556,1266523
2010-09-14,13.25,13.3,13.215,13.27,11.223763,2318831
2010-09-15,13.25,13.375,13.1,13.25,11.206847,545559
2010-09-16,13.38,13.38,13.14,13.15,11.122266,1978117
2010-09-17,13.15,13.25,12.75,12.75,10.783946,2148109
2010-09-20,12.88,13.09,12.82,13.09,11.071518,1014486
2010-09-21,12.965,13.325,12.965,13.265,11.219535,956407
2010-09-22,13.17,13.27,13.1,13.13,11.10535,715838
2010-09-23,13.145,13.25,12.875,12.875,10.889669999999999,654816
2010-09-24,12.96,13.19,12.83,13.125,11.101121000000001,500810
2010-09-27,13.1,13.395,13.07,13.33,11.274510000000001,1046333
2010-09-28,13.225,13.49,13.095,13.48,11.401381,454163
2010-09-29,13.5,13.56,13.135,13.475,11.397151,460913
2010-09-30,13.27,13.57,13.2,13.495,11.414067,871485
2010-10-01,13.4,13.89,13.395,13.68,11.570539,672925
2010-10-04,13.605,13.9,13.5,13.755,11.633974,1738801
2010-10-05,13.66,13.8,13.595,13.79,11.663578,1679019
2010-10-06,13.77,14.0,13.63,13.84,11.705867999999999,1105360
2010-10-07,13.89,13.99,13.75,13.87,11.731241,971156
2010-10-08,13.45,13.65,13.205,13.475,11.397151,57903616
2010-10-11,13.525,13.58,13.41,13.5,11.418295,2819045
2010-10-12,13.45,13.5,13.2,13.2,11.164556,2611821
2010-10-13,13.27,13.545,13.265,13.435,11.363318,5033824
2010-10-14,13.385,13.59,13.385,13.54,11.452128,2212781
2010-10-15,13.5,13.69,13.46,13.55,11.460587,1432915
2010-10-18,13.5,13.69,13.465,13.605,11.507106,1126083
2010-10-19,13.62,13.87,13.51,13.75,11.629745,2144769
2010-10-20,13.89,14.39,13.63,14.12,11.942692,2369774
2010-10-21,14.095,14.445,13.9,14.225,12.031502,2498129
2010-10-22,14.27,14.49,14.09,14.2,12.010356,1008911
2010-10-25,14.235,14.315,14.07,14.19,12.001897,1882753
2010-10-26,14.2,14.6,14.18,14.34,12.128767999999999,4072665
2010-10-27,14.375,14.69,14.195,14.32,12.111851,1434412
2010-10-28,14.37,15.05,14.33,14.57,12.323299,3106322
2010-10-29,14.54,14.78,14.42,14.635,12.378278,1294469
2010-11-01,14.755,14.85,14.37,14.58,12.331758,2108407
2010-11-02,14.615,14.79,14.52,14.72,12.450173,2277082
2010-11-03,14.79,14.79,14.48,14.48,12.24718,1876582
2010-11-04,14.785,14.785,14.19,14.56,12.314843,1367530
2010-11-05,14.77,14.77,14.06,14.17,11.984982,2794256
2010-11-08,14.2,14.59,14.16,14.34,12.128767999999999,2566497
2010-11-09,14.34,14.89,14.3,14.5,12.264096,2154586
2010-11-10,14.405,14.7,14.22,14.52,12.281011999999999,2571055
2010-11-11,14.96,14.975,14.15,14.34,12.128767999999999,2912023
2010-11-12,14.165,14.55,14.06,14.46,12.230266,1403514
2010-11-15,14.45,14.645,14.315,14.575,12.327531,1096628
2010-11-16,14.46,14.55,14.18,14.27,12.069563,1032038
2010-11-17,14.29,14.495,14.13,14.455,12.226034,1103315
2010-11-18,14.685,14.84,14.515,14.82,12.534751,1325194
2010-11-19,14.85,14.95,14.7,14.785,12.505149000000001,1251596
2010-11-22,14.885,14.885,14.36,14.455,12.226034,818268
2010-11-23,14.375,14.88,14.35,14.475,12.242951,1389747
2010-11-24,14.51,14.77,14.255,14.77,12.492461,3481514
2010-11-25,14.805,14.95,14.68,14.855,12.564352,1499749
2010-11-26,14.93,15.06,14.52,14.825,12.538979,1581991
2010-11-29,15.0,15.0,14.23,14.25,12.052645,2273491
2010-11-30,14.49,14.8,14.04,14.8,12.517836,14647643
2010-12-01,14.875,14.94,14.71,14.94,12.636248,3346505
2010-12-02,15.2,15.275,14.8,15.25,12.898444999999999,2194317
2010-12-03,15.375,15.47,15.025,15.22,12.873073,3480300
2010-12-06,15.37,15.37,14.98,15.135,12.801179,1248790
