Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,13.4504,13.46,12.9893,13.4504,5.900091000000001,19310803
2002-01-03,13.6522,13.6522,13.3159,13.6522,5.988608999999999,50450601
2002-01-04,13.3063,13.6522,13.2679,13.3063,5.836879,31947693
2002-01-07,12.874,13.4696,12.7779,12.874,5.64725,60053026
2002-01-08,12.8644,13.0085,12.6914,12.8644,5.643036,31422764
2002-01-09,12.5569,12.9412,12.4705,12.5569,5.508152,27368558
2002-01-10,12.2975,12.4512,11.9132,12.2975,5.431129,46366724
2002-01-11,12.2783,12.5761,12.0958,12.2783,5.422647,30928797
2002-01-14,11.7787,12.2399,11.7307,11.7787,5.2020029999999995,44327263
2002-01-15,12.3936,12.4416,11.7307,12.3936,5.47357,31904786
2002-01-16,12.1054,12.4224,12.0285,12.1054,5.3462879999999995,27198026
2002-01-17,12.4512,12.4608,12.2015,12.4512,5.499007,19574526
2002-01-18,12.4512,12.4897,12.1438,12.4512,5.499007,20691266
2002-01-21,12.2015,12.5377,12.1822,12.2015,5.388731,9050864
2002-01-22,12.7299,12.7299,12.0669,12.7299,5.622098,21332992
2002-01-23,12.874,12.874,12.4128,12.874,5.685736,20934900
2002-01-24,12.922,13.0661,12.7203,12.922,5.706935,17267567
2002-01-25,12.9412,12.9412,12.7299,12.9412,5.715414,14235130
2002-01-28,13.0757,13.143,12.8836,13.0757,5.774816,20156624
2002-01-29,12.8836,13.1238,12.8067,12.8836,5.689976000000001,26105672
2002-01-30,12.6818,12.7299,12.4993,12.6818,5.6008510000000005,23912541
2002-01-31,12.6818,12.8932,12.5761,12.6818,5.6008510000000005,13461465
2002-02-01,13.0085,13.0085,12.701,13.0085,5.745138,12598586
2002-02-04,12.5281,12.8644,12.4993,12.5281,5.53297,19204872
2002-02-05,12.1246,12.4608,12.0381,12.1246,5.354769,17746130
2002-02-06,12.0189,12.2783,11.8748,12.0189,5.308086,17141965
2002-02-07,12.5089,12.5185,11.8748,12.5089,5.524493,20659210
2002-02-08,12.2207,12.4897,12.2111,12.2207,5.397211,41525447
2002-02-11,12.1342,12.4801,12.0669,12.1342,5.359007,43132685
2002-02-12,11.9997,12.3071,11.8652,11.9997,5.299606,23061879
2002-02-13,12.2591,12.3552,11.9132,12.2591,5.414166000000001,23058180
2002-02-14,12.653,12.653,12.2399,12.653,5.588131,52590651
2002-02-15,12.3456,12.6626,12.3456,12.3456,5.452372,21810399
2002-02-18,12.2015,12.4897,12.2015,12.2015,5.388731,12356859
2002-02-19,11.9324,12.1918,11.9228,11.9324,5.269881,22172092
2002-02-20,11.9997,12.115,11.7691,11.9997,5.299606,29660380
2002-02-21,11.9997,12.2207,11.942,11.9997,5.299606,22893237
2002-02-22,11.8652,12.0093,11.8268,11.8652,5.240204,15296425
2002-02-25,12.1342,12.1342,11.8652,12.1342,5.359007,15528918
2002-02-26,12.3264,12.4416,12.1726,12.3264,5.443892,31721751
2002-02-27,12.8259,12.8259,12.3648,12.8259,5.664492,19153714
2002-02-28,12.8163,13.0181,12.5281,12.8163,5.660253,22142123
2002-03-01,12.7587,12.97,12.6914,12.9412,5.715414,16097722
2002-03-04,13.0757,13.2775,13.0757,13.2583,5.855462,24608366
2002-03-05,13.3063,13.4024,13.0277,13.1718,5.817258,20904726
2002-03-06,13.1142,13.2679,13.0277,13.2583,5.855462,16580327
2002-03-07,13.3063,13.4408,13.1334,13.4408,5.936063,18908003
