Date,Open,High,Low,Close,Adj Close,Volume
2011-07-20,179.460999,182.87399299999998,171.169998,182.87399299999998,174.26466399999998,1412767
2011-07-21,180.436005,182.630997,178.729004,181.41099499999999,172.870544,424348
2011-07-22,182.826004,182.826004,179.022003,179.94799799999998,171.476425,194149
2011-07-25,179.460999,181.167999,178.046005,179.94799799999998,171.476425,94900
2011-07-26,179.509003,181.41099499999999,178.973007,179.94799799999998,171.476425,149249
2011-07-27,179.460999,180.386993,176.582993,178.729004,170.314819,144707
2011-07-28,178.436996,180.386993,177.315002,180.386993,171.89476000000002,104182
2011-07-29,179.460999,182.386993,178.14399699999998,181.899002,173.335587,132758
2011-08-01,182.289001,182.87399299999998,180.533997,182.87399299999998,174.26466399999998,173835
2011-08-02,182.386993,190.188995,180.436005,190.188995,181.235321,1294559
2011-08-03,185.313004,188.67799399999998,182.630997,182.87399299999998,174.26466399999998,413329
2011-08-04,183.850006,184.531998,179.070999,180.436005,171.941452,153612
2011-08-05,180.436005,183.362,173.121002,180.436005,171.941452,164895
2011-08-08,179.460999,182.826004,176.53500400000001,178.973007,170.547333,137108
2011-08-09,180.436005,182.776993,176.046997,181.41099499999999,172.870544,97891
2011-08-10,180.923996,182.582001,170.779999,175.559006,167.294052,111543
2011-08-11,180.436005,180.436005,166.830002,172.73100300000002,164.599197,168872
2011-08-12,174.973999,182.87399299999998,171.658005,182.87399299999998,174.26466399999998,52653
2011-08-15,182.386993,183.800995,180.972,183.800995,175.148026,23627
2011-08-16,180.923996,183.362,180.436005,182.386993,173.800613,48816
2011-08-17,182.386993,183.362,180.972,183.362,174.729706,75838
2011-08-18,182.337997,183.26400800000002,180.729004,183.26400800000002,174.636322,49765
2011-08-19,182.240005,182.87399299999998,173.656998,180.436005,171.941452,63406
2011-08-22,173.07200600000002,179.460999,173.07200600000002,179.460999,171.01236,32037
2011-08-23,179.313995,180.386993,178.582993,179.313995,170.872269,31062
2011-08-24,179.313995,180.679993,178.973007,179.313995,170.872269,13384
2011-08-25,180.436005,180.436005,179.216995,180.436005,171.941452,60219
2011-08-26,179.94799799999998,181.41099499999999,178.973007,181.41099499999999,172.870544,10898
2011-08-29,179.996994,181.363007,179.899994,180.192001,171.708954,14945
2011-08-30,179.94799799999998,181.41099499999999,178.485001,181.41099499999999,172.870544,19041
2011-08-31,179.119003,182.87399299999998,179.119003,182.87399299999998,174.26466399999998,78748
2011-09-01,180.436005,182.776993,180.436005,182.776993,174.17224099999999,27841
