Date,Open,High,Low,Close,Adj Close,Volume
2011-07-04,3.4,3.52,3.204,3.204,2.5733610000000002,0
2011-07-05,3.4,3.52,3.204,3.204,2.5733610000000002,121524494
2011-07-06,3.246,3.327,3.2,3.25,2.610307,90755710
2011-07-07,3.37,3.67,3.292,3.65,2.931575,70399227
2011-07-08,3.757,3.846,3.537,3.585,2.879369,48655577
2011-07-11,3.483,3.523,3.41,3.495,2.807084,61723889
2011-07-12,3.426,3.54,3.4,3.5,2.8111,50244365
2011-07-13,3.415,3.55,3.4,3.511,2.8199349999999996,51116057
2011-07-14,3.405,3.62,3.4,3.54,2.843226,37859136
2011-07-15,3.401,3.48,3.4,3.429,2.754075,51546172
2011-07-18,3.382,3.435,3.352,3.37,2.706688,40854206
2011-07-19,3.31,3.426,3.261,3.4,2.730783,31840663
2011-07-20,3.4,3.489,3.3,3.3,2.650465,19431936
2011-07-21,3.4,3.435,3.252,3.273,2.62878,80659826
2011-07-22,3.3,3.348,3.275,3.301,2.651268,31777492
2011-07-25,3.266,3.32,3.26,3.292,2.64404,11107064
2011-07-26,3.306,3.32,3.23,3.28,2.634402,16090218
2011-07-27,3.244,3.299,2.991,3.073,2.4681450000000003,23515086
2011-07-28,3.056,3.181,2.959,3.03,2.433609,24888527
2011-07-29,2.99,3.021,2.79,2.95,2.3693560000000002,23395273
2011-08-01,2.925,2.99,2.81,2.818,2.263337,13081266
2011-08-02,2.8,2.8,2.67,2.721,2.185429,20227137
2011-08-03,2.695,2.705,2.551,2.621,2.105112,19284795
2011-08-04,2.655,2.73,2.49,2.501,2.008732,19347420
2011-08-05,2.44,2.651,2.362,2.626,2.1091279999999997,26832426
2011-08-08,2.63,2.819,2.57,2.597,2.085836,9583085
2011-08-09,2.608,2.647,2.423,2.549,2.047284,11353373
2011-08-10,2.6,2.7,2.531,2.551,2.04889,11942222
2011-08-11,2.596,2.74,2.56,2.67,2.144468,13179456
2011-08-12,2.678,2.83,2.678,2.782,2.234423,11042140
2011-08-15,2.8,2.847,2.761,2.821,2.265746,10616908
2011-08-16,2.802,2.84,2.77,2.81,2.256912,6367059
2011-08-17,2.79,2.82,2.69,2.76,2.2167529999999998,7177555
2011-08-18,2.741,2.76,2.537,2.667,2.142058,8708710
2011-08-19,2.67,2.698,2.53,2.617,2.101899,9008343
2011-08-22,2.61,2.675,2.552,2.619,2.1035060000000003,3459002
