Date,Open,High,Low,Close,Adj Close,Volume
2006-05-17,2.49,2.64,2.425,2.545,2.047148,97049192
2006-05-18,2.62,2.625,2.5,2.625,2.1114990000000002,16896672
2006-05-19,2.625,2.695,2.55,2.6,2.0913880000000002,4911660
2006-05-22,2.605,2.605,2.495,2.55,2.05117,4940286
2006-05-23,2.5,2.525,2.35,2.5,2.010951,21834718
2006-05-24,2.5,2.545,2.425,2.5,2.010951,8978122
2006-05-25,2.495,2.51,2.435,2.5,2.010951,5236210
2006-05-26,2.5,2.545,2.5,2.525,2.0310599999999996,2623786
2006-05-29,2.575,2.575,2.515,2.55,2.05117,3471904
2006-05-30,2.555,2.555,2.5,2.545,2.047148,1689152
2006-05-31,2.525,2.795,2.525,2.725,2.191936,4586468
2006-06-01,2.75,2.85,2.725,2.725,2.191936,4298798
2006-06-02,2.77,2.795,2.725,2.765,2.224112,4621812
2006-06-05,2.75,2.82,2.565,2.805,2.256287,2993128
2006-06-06,2.775,2.825,2.75,2.8,2.252265,2929806
2006-06-07,2.805,2.93,2.805,2.9,2.332702,4825464
2006-06-08,2.865,2.975,2.825,2.9,2.332702,4387256
2006-06-09,2.95,3.0,2.945,2.95,2.372922,3801922
2006-06-12,3.035,3.035,2.925,2.925,2.3528119999999997,1019976
2006-06-13,2.87,2.87,2.7,2.8,2.252265,2156810
2006-06-14,2.885,2.885,2.75,2.805,2.256287,1638626
2006-06-15,2.6665,2.7,2.6475,2.6905,2.164185,1694058
2006-06-16,2.781,2.781,2.524,2.619,2.106672,2543170
2006-06-19,2.8,2.855,2.725,2.8,2.252265,2000312
2006-06-20,2.725,2.85,2.725,2.75,2.2120450000000003,1061698
2006-06-21,2.795,2.875,2.79,2.83,2.276396,1383620
2006-06-22,2.87,3.085,2.87,2.95,2.372922,2556684
2006-06-23,2.975,3.125,2.93,3.115,2.5056439999999998,2360666
2006-06-26,3.13,3.43,3.04,3.06,2.461403,3365582
2006-06-27,3.125,3.13,2.98,3.05,2.45336,1519388
2006-06-28,3.0,3.15,3.0,3.125,2.513688,697534
2006-06-29,3.145,3.245,3.135,3.19,2.565973,1707136
2006-06-30,3.25,3.26,3.125,3.215,2.5860819999999998,1539180
2006-07-03,3.24,3.25,3.175,3.25,2.614236,890466
2006-07-04,3.25,3.275,3.19,3.19,2.565973,602438
2006-07-05,3.185,3.185,3.065,3.12,2.509666,422808
2006-07-06,3.115,3.215,3.11,3.2,2.574017,1740350
2006-07-07,3.22,3.22,3.16,3.175,2.553907,1072224
2006-07-10,3.2,3.24,3.19,3.2,2.574017,1956558
2006-07-11,3.21,3.23,3.18,3.22,2.590104,887774
2006-07-12,3.235,3.275,3.18,3.275,2.634345,2802234
2006-07-13,3.265,3.265,3.2,3.235,2.60217,1214488
2006-07-14,3.2,3.24,3.165,3.22,2.590104,1227208
2006-07-17,3.24,3.26,3.125,3.2,2.574017,1470960
2006-07-18,3.215,3.24,3.14,3.22,2.590104,1051310
2006-07-19,3.2,3.24,3.15,3.185,2.5619509999999996,2499058
2006-07-20,3.195,3.325,3.13,3.195,2.569995,4277886
2006-07-21,3.225,3.35,3.2,3.305,2.658477,5501040
2006-07-24,3.34,3.375,3.31,3.35,2.694674,1899660
2006-07-25,3.39,3.575,3.38,3.45,2.775112,2581304
2006-07-26,3.45,3.52,3.36,3.36,2.702718,1758772
2006-07-27,3.42,3.42,3.31,3.325,2.674564,1002056
2006-07-28,3.375,3.4,3.28,3.28,2.6383669999999997,1322742
2006-07-31,3.32,3.375,3.25,3.37,2.710762,683572
2006-08-01,3.35,3.35,3.27,3.305,2.658477,691026
2006-08-02,3.335,3.345,3.255,3.3,2.654455,1011098
2006-08-03,3.305,3.305,3.25,3.25,2.614236,998876
2006-08-04,3.255,3.28,3.22,3.225,2.5941259999999997,568660
2006-08-07,3.2,3.2,3.075,3.095,2.489557,1401156
2006-08-08,3.17,3.225,3.135,3.19,2.565973,644978
2006-08-09,3.245,3.27,3.15,3.2,2.574017,651444
2006-08-10,3.175,3.18,3.125,3.15,2.533798,303004
2006-08-11,3.16,3.22,3.13,3.13,2.5177099999999997,621328
2006-08-14,3.15,3.17,3.09,3.09,2.485534,1202572
2006-08-15,3.085,3.15,3.075,3.1,2.493579,897154
2006-08-16,3.115,3.125,3.065,3.095,2.489557,2024840
2006-08-17,3.105,3.205,3.105,3.205,2.5780380000000003,2198880
2006-08-18,3.21,3.28,3.15,3.18,2.55793,1469640
2006-08-21,3.24,3.255,3.19,3.235,2.60217,1002884
2006-08-22,3.215,3.275,3.215,3.24,2.6061919999999996,820346
2006-08-23,3.24,3.25,3.18,3.195,2.569995,647290
2006-08-24,3.18,3.185,3.13,3.15,2.533798,1907950
2006-08-25,3.145,3.165,3.13,3.145,2.529776,1529010
2006-08-28,3.14,3.28,3.12,3.275,2.634345,2667950
2006-08-29,3.275,3.345,3.26,3.28,2.6383669999999997,2131348
2006-08-30,3.26,3.465,3.2,3.465,2.7871770000000002,5279672
2006-08-31,3.475,3.62,3.31,3.365,2.70674,5417516
2006-09-01,3.44,3.59,3.37,3.5,2.815331,6069572
2006-09-04,3.525,3.57,3.495,3.525,2.83544,2893452
2006-09-05,3.545,3.545,3.445,3.5,2.815331,2891846
2006-09-06,3.52,3.565,3.45,3.49,2.807287,2203340
2006-09-07,3.49,3.515,3.46,3.5,2.815331,1854276
2006-09-08,3.525,3.8,3.52,3.67,2.952075,4206464
2006-09-11,3.695,3.95,3.655,3.83,3.080777,2689646
2006-09-12,3.855,4.025,3.855,3.96,3.185346,3542894
2006-09-13,4.0,4.09,3.93,3.985,3.2054549999999997,2091720
2006-09-14,4.005,4.015,3.835,3.875,3.1169729999999998,2152068
2006-09-15,3.915,3.92,3.85,3.875,3.1169729999999998,766990
2006-09-18,3.85,3.92,3.85,3.895,3.133061,737368
2006-09-19,3.99,3.99,3.9,3.925,3.1571919999999998,1067378
2006-09-20,3.925,3.925,3.83,3.855,3.100886,1123870
2006-09-21,3.86,3.895,3.78,3.88,3.120995,1023870
2006-09-22,3.88,3.94,3.8,3.915,3.149148,485722
2006-09-25,3.925,4.095,3.925,3.955,3.181324,1246232
2006-09-26,3.985,4.025,3.905,3.94,3.169258,1173858
2006-09-27,3.875,3.99,3.875,3.9,3.137083,944702
2006-09-28,3.925,4.0,3.89,3.95,3.177302,1228372
2006-09-29,3.96,3.995,3.92,3.995,3.213499,531216
2006-10-02,4.04,4.055,3.99,3.99,3.209477,1102260
2006-10-03,3.99,4.015,3.94,3.98,3.201433,669304
2006-10-04,3.98,4.005,3.95,3.99,3.209477,1911966
2006-10-05,3.975,3.99,3.93,3.965,3.189368,1181190
2006-10-06,3.97,3.97,3.83,3.85,3.096864,1014260
2006-10-09,3.905,3.94,3.85,3.94,3.169258,3647536
2006-10-10,3.95,3.96,3.93,3.95,3.177302,1778066
2006-10-11,3.955,3.975,3.905,3.945,3.17328,879926
2006-10-12,3.945,3.97,3.92,3.97,3.193389,318214
2006-10-13,3.985,3.985,3.91,3.935,3.165236,1666484
2006-10-16,3.955,3.97,3.91,3.92,3.153171,902376
2006-10-17,3.905,3.945,3.875,3.9,3.137083,1721070
2006-10-18,3.91,3.945,3.86,3.895,3.133061,1090896
2006-10-19,3.89,3.96,3.885,3.92,3.153171,1214118
2006-10-20,3.97,4.24,3.925,4.1,3.2979589999999996,3177752
2006-10-23,4.16,4.225,4.085,4.135,3.326113,1260010
2006-10-24,4.125,4.14,4.08,4.1,3.2979589999999996,635390
2006-10-25,4.125,4.22,4.095,4.2,3.378397,1418970
2006-10-26,4.22,4.225,4.115,4.15,3.3381790000000002,3616732
2006-10-27,4.15,4.175,4.12,4.125,3.3180690000000004,484322
2006-10-30,4.17,4.17,4.04,4.065,3.269806,376372
2006-10-31,4.12,4.12,4.01,4.1,3.2979589999999996,1095790
2006-11-01,4.125,4.24,4.065,4.125,3.3180690000000004,2685592
2006-11-02,4.125,4.14,4.09,4.13,3.3220910000000003,1584694
2006-11-03,4.195,4.2,4.12,4.14,3.3301339999999997,2795102
2006-11-06,4.155,4.155,4.1,4.125,3.3180690000000004,1415080
2006-11-07,4.1,4.15,3.86,4.01,3.225565,3354922
2006-11-08,3.975,3.99,3.92,3.925,3.1571919999999998,2529630
2006-11-09,3.875,3.93,3.87,3.915,3.149148,3068428
2006-11-10,3.95,3.95,3.91,3.93,3.1612139999999997,2479570
2006-11-13,3.95,3.96,3.905,3.96,3.185346,715816
2006-11-14,3.965,3.965,3.935,3.95,3.177302,1814178
2006-11-15,3.95,3.985,3.935,3.94,3.169258,426768
2006-11-16,3.96,4.31,3.96,4.175,3.3582870000000002,3758374
2006-11-17,4.11,4.185,4.1,4.105,3.3019809999999996,868514
2006-11-20,4.105,4.185,4.06,4.16,3.346222,893338
2006-11-21,4.14,4.18,4.115,4.125,3.3180690000000004,3297140
