Date,Open,High,Low,Close,Adj Close,Volume
2011-01-24,3.25,3.42,3.25,3.31,2.9454580000000004,6121476
2011-01-25,3.35,3.379,3.185,3.21,2.856471,8419461
2011-01-26,3.21,3.25,3.163,3.174,2.824436,10966562
2011-01-27,3.2,3.242,3.13,3.13,2.785282,20280100
2011-01-28,3.1,3.127,3.03,3.04,2.7051939999999997,33814173
2011-01-31,3.0,3.031,2.91,3.0,2.6696,6031079
2011-02-01,3.02,3.105,3.001,3.035,2.700745,13601617
2011-02-02,3.15,3.15,2.93,3.026,2.692736,18260026
2011-02-03,3.09,3.09,2.965,3.078,2.739009,11012970
2011-02-04,3.077,3.107,3.021,3.06,2.722991,23457142
2011-02-07,3.105,3.22,3.07,3.22,2.86537,18549032
2011-02-08,3.18,3.21,3.133,3.15,2.803079,13163035
2011-02-09,3.162,3.17,3.042,3.045,2.709644,8300719
2011-02-10,3.0,3.0,2.86,2.965,2.6384540000000003,7246985
2011-02-11,2.975,2.98,2.891,2.928,2.605529,14226967
2011-02-14,2.992,2.992,2.883,2.909,2.588622,5324968
2011-02-15,2.91,2.96,2.87,2.96,2.6340049999999997,2958552
2011-02-16,2.985,3.03,2.964,3.03,2.696295,6513305
2011-02-17,3.018,3.034,2.967,2.979,2.650912,3601088
2011-02-18,2.97,3.009,2.935,2.937,2.613538,1571731
2011-02-21,2.969,2.969,2.85,2.858,2.543238,8766842
2011-02-22,2.81,2.834,2.719,2.811,2.501415,6308118
2011-02-23,2.76,2.81,2.735,2.752,2.448913,2671919
2011-02-24,2.712,2.715,2.622,2.647,2.355477,5335353
2011-02-25,2.641,2.727,2.623,2.623,2.33412,26600152
2011-02-28,2.67,2.671,2.61,2.638,2.347468,5445369
2011-03-01,2.65,2.724,2.611,2.649,2.357256,3103535
2011-03-02,2.63,2.699,2.583,2.664,2.370604,4473239
2011-03-03,2.7,2.744,2.675,2.707,2.4088689999999997,2267608
2011-03-04,2.68,2.75,2.621,2.621,2.3323400000000003,1968742
2011-03-07,2.646,2.71,2.611,2.659,2.366155,1538654
2011-03-08,2.71,2.71,2.636,2.65,2.358146,2179927
2011-03-09,2.7,2.771,2.693,2.732,2.431115,4539366
2011-03-10,2.729,2.729,2.67,2.704,2.406199,3239442
2011-03-11,2.7,2.72,2.65,2.72,2.4204369999999997,1403212
2011-03-14,2.662,2.72,2.659,2.68,2.384842,1649062
2011-03-15,2.62,2.63,2.53,2.56,2.278059,3238987
2011-03-16,2.59,2.592,2.432,2.46,2.1890709999999998,2284980
2011-03-17,2.48,2.527,2.442,2.527,2.2486919999999997,1585636
2011-03-18,2.53,2.575,2.45,2.45,2.180173,4944595
2011-03-21,2.495,2.56,2.493,2.555,2.273609,2057161
2011-03-22,2.58,2.59,2.533,2.56,2.278059,2852139
2011-03-23,2.535,2.547,2.482,2.499,2.223776,2557586
