Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,9.71,9.83,9.52,9.71,6.250889,829582
2002-01-03,9.9,9.96,9.7,9.9,6.373202,935927
2002-01-04,9.8,9.96,9.8,9.8,6.308827,464418
2002-01-07,9.6,9.99,9.6,9.6,6.180076000000001,589832
2002-01-08,9.8,9.87,9.6,9.8,6.308827,254283
2002-01-09,9.65,9.8,9.55,9.65,6.212263,314091
2002-01-10,9.51,9.62,9.5,9.51,6.122137,315922
2002-01-11,9.57,9.87,9.51,9.57,6.160762999999999,381096
2002-01-14,9.46,9.65,9.46,9.46,6.08995,610066
2002-01-15,9.65,9.73,9.46,9.65,6.212263,311503
2002-01-16,9.52,9.68,9.46,9.52,6.128575,470226
2002-01-17,9.79,9.79,9.51,9.79,6.302389,490228
2002-01-18,9.65,9.75,9.6,9.65,6.212263,232198
2002-01-21,9.5,9.7,9.5,9.5,6.115699,190709
2002-01-22,9.44,9.53,9.35,9.44,6.077074,618959
2002-01-23,9.45,9.5,9.37,9.45,6.083512000000001,408670
2002-01-24,9.51,9.53,9.43,9.51,6.122137,586558
2002-01-25,9.51,9.6,9.45,9.51,6.122137,389518
2002-01-28,9.76,9.78,9.54,9.76,6.283077,948541
2002-01-29,9.76,9.85,9.68,9.76,6.283077,504018
2002-01-30,9.7,9.74,9.53,9.7,6.244452,329309
2002-01-31,9.76,9.88,9.7,9.76,6.283077,627611
2002-02-01,9.7,9.84,9.65,9.7,6.244452,329882
2002-02-04,9.64,9.7,9.55,9.64,6.205826999999999,494752
2002-02-05,9.5,9.63,9.4,9.5,6.115699,819647
2002-02-06,9.3,9.49,9.3,9.3,5.986948,637545
2002-02-07,9.3,9.4,9.22,9.3,5.986948,1107985
2002-02-08,9.22,9.35,9.07,9.22,5.935449,527071
2002-02-11,9.3,9.38,9.13,9.3,5.986948,316073
2002-02-12,9.27,9.4,9.12,9.27,5.967636,257037
2002-02-13,9.35,9.35,9.16,9.35,6.019137000000001,190569
2002-02-14,9.41,9.44,9.26,9.41,6.057762,509513
2002-02-15,9.42,9.52,9.4,9.42,6.0642,459041
2002-02-18,9.22,9.39,9.22,9.22,5.935449,460705
2002-02-19,9.19,9.25,9.13,9.19,5.916135,435172
2002-02-20,9.15,9.23,9.12,9.15,5.890384,199989
2002-02-21,9.17,9.28,9.09,9.17,5.903261,314714
2002-02-22,9.05,9.21,9.0,9.05,5.826009,330725
2002-02-25,9.12,9.16,9.05,9.12,5.871071,213942
2002-02-26,9.3,9.33,9.12,9.3,5.986948,755586
2002-02-27,9.41,9.47,9.25,9.41,6.057762,591959
2002-02-28,9.48,9.61,9.28,9.48,6.102825,470612
2002-03-01,9.6,9.63,9.52,9.6,6.180076000000001,791485
2002-03-04,9.69,9.8,9.65,9.7,6.244452,359985
2002-03-05,9.75,9.8,9.66,9.7,6.244452,600829
2002-03-06,9.79,9.85,9.72,9.85,6.341016000000001,450356
2002-03-07,9.92,10.13,9.9,10.05,6.469767,865045
2002-03-08,10.09,10.23,10.0,10.2,6.566330000000001,794555
2002-03-11,10.23,10.3,10.09,10.27,6.611394000000001,519580
2002-03-12,10.27,10.27,10.05,10.1,6.501956,388604
2002-03-13,10.07,10.26,10.01,10.05,6.469767,690694
2002-03-14,10.06,10.36,10.06,10.36,6.669332000000001,359533
2002-03-15,10.36,10.5,10.18,10.29,6.624267999999999,751476
2002-03-18,10.45,10.69,10.41,10.69,6.881772,872739
2002-03-19,10.74,10.75,10.52,10.6,6.8238330000000005,610830
2002-03-20,10.65,10.71,10.42,10.58,6.810958,847807
2002-03-21,10.54,10.69,10.44,10.58,6.810958,349173
2002-03-22,10.53,10.62,10.46,10.47,6.740145,386505
2002-03-25,10.43,10.45,10.05,10.05,6.469767,2281170
2002-03-26,10.05,10.31,10.04,10.25,6.598517999999999,2036741
2002-03-27,10.29,10.34,10.13,10.19,6.559892999999999,478302
2002-03-28,10.19,10.19,10.19,10.19,6.559892999999999,0
2002-03-29,10.19,10.19,10.19,10.19,6.559892999999999,0
2002-04-01,10.19,10.19,10.19,10.19,6.559892999999999,0
2002-04-02,10.14,10.29,10.14,10.14,6.527705,490565
2002-04-03,10.14,10.15,10.02,10.14,6.527705,620004
2002-04-04,9.97,10.09,9.88,9.97,6.418265,633809
2002-04-05,10.14,10.23,9.93,10.14,6.527705,448037
2002-04-08,10.04,10.15,9.83,10.04,6.46333,465172
2002-04-09,10.01,10.13,10.01,10.01,6.444016,244622
2002-04-10,10.15,10.15,9.83,10.15,6.534142,328450
2002-04-11,10.0,10.23,10.0,10.0,6.437578,356889
2002-04-12,10.0,10.17,9.99,10.0,6.437578,528349
2002-04-15,10.0,10.1,9.96,10.0,6.437578,468935
2002-04-16,10.23,10.23,9.99,10.23,6.585642999999999,581635
2002-04-17,9.85,10.34,9.83,9.85,6.341016000000001,1606710
2002-04-18,9.76,9.94,9.72,9.76,6.283077,11991578
2002-04-19,9.88,9.93,9.78,9.88,6.360327,497223
2002-04-22,9.83,9.89,9.78,9.83,6.32814,323966
2002-04-23,9.78,9.96,9.76,9.78,6.295952,460465
2002-04-24,9.75,9.87,9.75,9.75,6.27664,764901
2002-04-25,9.59,9.77,9.51,9.59,6.1736379999999995,828395
2002-04-26,9.57,9.7,9.52,9.57,6.160762999999999,276670
2002-04-29,9.75,9.75,9.5,9.75,6.27664,424047
2002-04-30,9.82,9.84,9.6,9.82,6.321701999999999,474414
2002-05-01,9.82,9.82,9.82,9.82,6.321701999999999,0
2002-05-02,9.41,9.8,9.39,9.41,6.057762,482542
2002-05-03,9.22,9.46,9.16,9.22,5.935449,484789
2002-05-06,9.19,9.44,9.16,9.19,5.916135,557197
2002-05-07,9.24,9.35,9.12,9.24,5.948322,884983
2002-05-08,9.49,9.52,9.41,9.49,6.109262,454281
2002-05-09,9.62,9.7,9.55,9.62,6.19295,770582
2002-05-10,9.5,9.75,9.45,9.5,6.115699,1148989
2002-05-13,9.54,9.6,9.5,9.54,6.141449,540707
2002-05-14,9.72,9.77,9.59,9.72,6.257326,685829
2002-05-15,9.76,9.78,9.7,9.76,6.283077,658026
2002-05-16,9.8,9.84,9.63,9.8,6.308827,566376
2002-05-17,9.87,9.95,9.76,9.87,6.35389,745264
2002-05-20,9.82,9.91,9.73,9.82,6.321701999999999,304892
2002-05-21,9.75,9.8,9.7,9.75,6.27664,378398
2002-05-22,9.7,9.73,9.53,9.7,6.244452,567695
2002-05-23,9.79,9.79,9.57,9.79,6.302389,626562
2002-05-24,9.9,9.9,9.73,9.9,6.373202,911616
2002-05-27,9.75,9.92,9.74,9.75,6.27664,404874
2002-05-28,9.7,9.8,9.6,9.7,6.244452,833069
2002-05-29,9.68,9.7,9.54,9.68,6.2315760000000004,476935
2002-05-30,9.4,9.6,9.35,9.4,6.051324,419404
2002-05-31,9.31,9.44,9.3,9.31,5.993387,452742
2002-06-03,9.2,9.38,9.2,9.2,5.922573000000001,273709
2002-06-04,9.11,9.19,9.05,9.11,5.864634,2050001
2002-06-05,9.24,9.36,9.14,9.24,5.948322,701505
2002-06-06,9.25,9.33,9.2,9.25,5.95476,653156
2002-06-07,9.08,9.23,9.03,9.08,5.845321,729145
2002-06-10,9.03,9.16,9.0,9.03,5.813134,661794
2002-06-11,9.12,9.12,8.91,9.12,5.871071,856562
2002-06-12,8.8,9.04,8.8,8.8,5.665069,584837
2002-06-13,8.83,9.0,8.81,8.83,5.684382,484495
2002-06-14,8.7,8.83,8.59,8.7,5.600693,596306
2002-06-17,8.7,8.74,8.67,8.7,5.600693,509326
2002-06-18,8.94,9.0,8.72,8.94,5.755196,533453
2002-06-19,8.95,9.08,8.81,8.95,5.761632,591594
2002-06-20,8.7,8.95,8.69,8.7,5.600693,649160
2002-06-21,8.57,8.83,8.55,8.57,5.517005,395212
2002-06-24,8.5,8.63,8.43,8.5,5.471941999999999,946413
2002-06-25,8.61,8.78,8.51,8.61,5.5427550000000005,484611
2002-06-26,8.31,8.4,8.18,8.31,5.349627,688291
2002-06-27,8.31,8.48,8.21,8.31,5.349627,4772391
2002-06-28,8.75,8.75,8.32,8.75,5.632882,1603691
2002-07-01,8.65,8.92,8.57,8.65,5.622845,2118017
2002-07-02,8.55,8.82,8.45,8.55,5.557840000000001,876823
2002-07-03,8.52,8.7,8.34,8.52,5.53834,1023717
2002-07-04,8.69,8.7,8.55,8.69,5.648846,3791220
2002-07-05,8.98,8.99,8.65,8.98,5.837358,720177
2002-07-08,8.9,9.05,8.82,8.9,5.785355,1952341
2002-07-09,8.65,8.94,8.59,8.65,5.622845,352936
2002-07-10,8.58,8.7,8.55,8.58,5.577343,274047
2002-07-11,8.22,8.6,8.22,8.22,5.343328,1366927
2002-07-12,8.6,8.68,8.4,8.6,5.590343,948106
2002-07-15,8.5,8.68,8.39,8.5,5.525339,588422
2002-07-16,8.35,8.6,8.15,8.35,5.427833000000001,713567
2002-07-17,8.5,8.59,8.16,8.5,5.525339,366225
2002-07-18,8.47,8.51,8.3,8.47,5.505838,757261
2002-07-19,8.1,8.44,8.1,8.1,5.265323,829909
2002-07-22,7.83,8.05,7.8,7.83,5.089812,665726
2002-07-23,7.9,8.0,7.8,7.9,5.135315,425511
2002-07-24,7.65,7.83,7.31,7.65,4.972805999999999,696316
2002-07-25,7.6,8.2,7.55,7.6,4.940303,726319
2002-07-26,7.61,7.65,7.35,7.61,4.946803,524476
2002-07-29,8.14,8.17,7.59,8.14,5.2913239999999995,650383
2002-07-30,8.2,8.22,7.98,8.2,5.330328,842453
2002-07-31,7.93,8.25,7.77,7.93,5.154816,649383
2002-08-01,7.76,8.1,7.7,7.76,5.04431,1089951
2002-08-02,7.54,7.74,7.47,7.54,4.9013,362193
2002-08-05,7.3,7.7,7.25,7.3,4.74529,315483
2002-08-06,7.35,7.47,7.01,7.35,4.777793,726890
2002-08-07,7.2,7.42,7.2,7.2,4.680287,297946
2002-08-08,7.28,7.32,7.1,7.28,4.732291,804767
2002-08-09,7.0,7.39,6.9,7.0,4.550279,1033803
2002-08-12,7.0,7.04,6.76,7.0,4.550279,415682
2002-08-13,7.02,7.08,6.97,7.02,4.563280000000001,299057
2002-08-14,6.98,7.08,6.9,6.98,4.537278,406807
2002-08-15,6.98,6.98,6.98,6.98,4.537278,0
2002-08-16,7.02,7.09,6.91,7.02,4.563280000000001,659974
2002-08-19,7.15,7.19,7.0,7.15,4.647786,636312
2002-08-20,7.12,7.32,7.07,7.12,4.628284,420974
2002-08-21,7.67,7.67,7.12,7.67,4.985806,672647
2002-08-22,7.73,7.85,7.52,7.73,5.024808,1318837
2002-08-23,7.56,7.73,7.56,7.56,4.914301,402964
2002-08-26,7.6,7.85,7.55,7.6,4.940303,282703
2002-08-27,7.46,7.71,7.46,7.46,4.849297,428441
2002-08-28,7.4,7.49,7.29,7.4,4.810295,356616
2002-08-29,7.23,7.43,7.16,7.23,4.699788,387250
2002-08-30,7.2,7.32,7.12,7.2,4.680287,366986
2002-09-02,6.95,7.23,6.92,6.95,4.517777,411730
2002-09-03,6.6,7.04,6.6,6.6,4.290264,1043257
2002-09-04,6.31,6.64,6.24,6.31,4.101751,1506140
2002-09-05,6.4,6.51,6.32,6.4,4.160255,739492
2002-09-06,6.55,6.55,6.34,6.55,4.257761,770861
2002-09-09,6.4,6.55,6.35,6.4,4.160255,196646
2002-09-10,6.48,6.6,6.41,6.48,4.212258,535275
2002-09-11,6.61,6.65,6.34,6.61,4.296762999999999,830076
2002-09-12,6.49,6.61,6.4,6.49,4.2187589999999995,341255
2002-09-13,6.24,6.49,6.24,6.24,4.056249,652238
2002-09-16,6.3,6.35,6.21,6.3,4.0952519999999994,261560
2002-09-17,6.3,6.51,6.18,6.3,4.0952519999999994,719656
2002-09-18,6.0,6.25,6.0,6.0,3.900239,811245
2002-09-19,5.6,6.04,5.6,5.6,3.640223,1402436
2002-09-20,5.45,5.72,5.37,5.45,3.5427169999999997,1245515
2002-09-23,5.35,5.54,5.3,5.35,3.4777129999999996,1160151
2002-09-24,5.25,5.44,5.11,5.25,3.4127089999999995,1057420
2002-09-25,5.06,5.34,5.05,5.06,3.2892010000000003,1331238
2002-09-26,5.47,5.48,5.11,5.47,3.555717,645784
