Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,21.41,21.41,21.41,21.41,-7.5276559999999995,0
2002-01-02,4.42,4.52,4.24,4.34,-1.525924,2756365
2002-01-03,21.950001,22.65,21.809998999999998,22.5,-7.910896000000001,697022
2002-01-04,22.379998999999998,22.85,22.1,22.5,-7.910896000000001,1000098
2002-01-07,4.474,4.564,4.432,4.44,-1.561083,5855530
2002-01-08,4.402,4.596,4.402,4.596,-1.615933,3566290
2002-01-09,4.56,4.56,4.398,4.5,-1.582179,5362945
2002-01-10,22.200001,22.450001,22.01,22.450001,-7.893314,936323
2002-01-11,22.440001000000002,22.549999,21.799999,21.799999,-7.664782000000001,1092018
2002-01-14,21.9,21.969998999999998,21.549999,21.66,-7.6155539999999995,923246
2002-01-15,21.58,21.58,20.9,21.15,-7.436242999999999,1272253
2002-01-16,21.35,22.190001000000002,21.02,21.5,-7.5593,1498373
2002-01-17,4.302,4.386,4.25,4.32,-1.518892,3970405
2002-01-18,4.3,4.38,4.284,4.34,-1.525924,3134110
2002-01-21,21.51,21.93,21.450001,21.6,-7.594461,469880
2002-01-22,21.6,21.75,21.120001000000002,21.6,-7.594461,791246
2002-01-23,21.5,22.290001,21.370001000000002,22.1,-7.770258,1068373
2002-01-24,4.418,4.564,4.4,4.564,-1.604681,4472785
2002-01-25,22.51,23.0,22.309998999999998,22.549999,-7.928476,643244
2002-01-28,22.540001,22.98,22.299999,22.5,-7.910896000000001,380174
2002-01-29,4.52,4.56,4.364,4.4,-1.5470190000000001,2570325
2002-01-30,21.99,22.15,21.1,21.67,-7.619072,860687
2002-01-31,4.37,4.434,4.334,4.426,-1.5561610000000001,3195330
2002-02-01,22.549999,22.99,22.299999,22.99,-8.083178,1173191
2002-02-04,22.85,22.85,22.309998999999998,22.42,-7.882771000000001,989820
2002-02-05,22.209999,22.360001,21.799999,22.200001,-7.805414999999999,705143
2002-02-06,22.200001,22.200001,21.51,21.51,-7.562816000000001,547425
2002-02-07,4.316,4.45,4.282,4.438,-1.5603799999999999,2902985
2002-02-08,4.394,4.4,4.32,4.32,-1.518892,4753405
2002-02-11,4.366,4.388,4.31,4.32,-1.518892,2694670
2002-02-12,21.790001,21.940001000000002,21.450001,21.49,-7.555785,945974
2002-02-13,4.3,4.34,4.236,4.248,-1.4935770000000002,4380795
2002-02-14,21.389999,22.219998999999998,21.299999,22.1,-7.770258,1100091
2002-02-15,4.38,4.496,4.38,4.496,-1.580773,5836725
2002-02-18,4.442,4.496,4.432,4.448,-1.563896,2679200
2002-02-19,4.46,4.46,4.37,4.4,-1.5470190000000001,3930810
2002-02-20,4.406,4.434,4.326,4.352,-1.530143,3683015
2002-02-21,4.396,4.428,4.344,4.412,-1.551239,3654665
2002-02-22,4.392,4.428,4.332,4.4,-1.5470190000000001,2760140
2002-02-25,21.82,22.41,21.76,22.389999,-7.872222,2128768
2002-02-26,22.5,22.65,21.9,22.0,-7.735098,893113
2002-02-27,4.39,4.6,4.39,4.6,-1.6173389999999999,3597725
2002-02-28,22.549999,22.889999,22.18,22.66,-7.96715,1018524
2002-03-01,4.554,4.6,4.502,4.6,-1.6173389999999999,3817420
2002-03-04,4.57,4.612,4.542,4.6,-1.6173389999999999,4418275
2002-03-05,22.65,22.85,22.360001,22.549999,-7.928476,860280
2002-03-06,4.43,4.518,4.43,4.46,-1.568115,3576165
2002-03-07,22.5,22.969998999999998,22.200001,22.200001,-7.805414999999999,587949
2002-03-08,22.450001,22.9,22.4,22.82,-8.023408,598588
2002-03-11,4.566,4.58,4.474,4.538,-1.59554,2847600
2002-03-12,22.469998999999998,22.68,22.129998999999998,22.15,-7.787838000000001,524608
2002-03-13,4.4,4.458,4.382,4.386,-1.5420969999999998,6212780
2002-03-14,22.0,22.280001000000002,21.93,22.27,-7.830029,395401
2002-03-15,4.454,4.574,4.4,4.57,-1.606791,5889525
2002-03-18,22.66,22.91,22.33,22.91,-8.05505,885435
2002-03-19,4.578,4.578,4.496,4.506,-1.584288,3022350
2002-03-20,22.690001000000002,22.790001,22.35,22.67,-7.970667,762428
2002-03-21,22.700001,22.700001,22.120001000000002,22.219998999999998,-7.812449000000001,659407
2002-03-22,4.548,4.572,4.39,4.39,-1.543504,12790785
2002-03-25,4.406,4.424,4.272,4.3,-1.51186,9675915
2002-03-26,21.51,21.629998999999998,21.049999,21.4,-7.524139999999999,2818152
2002-03-27,21.58,21.6,21.35,21.6,-7.594461,1609644
2002-03-28,21.6,21.6,21.6,21.6,-7.594461,0
2002-03-29,4.32,4.32,4.32,4.32,-1.518892,0
2002-04-01,21.6,21.6,21.6,21.6,-7.594461,0
2002-04-02,21.65,21.99,21.450001,21.99,-7.731584,1850861
2002-04-03,4.36,4.404,4.292,4.34,-1.525924,8993860
2002-04-04,4.364,4.38,4.31,4.358,-1.532253,3820220
2002-04-05,4.362,4.366,4.27,4.27,-1.501312,4775785
2002-04-08,4.298,4.298,4.204,4.23,-1.487248,6502740
2002-04-09,4.252,4.348,4.234,4.28,-1.504828,3715160
2002-04-10,4.272,4.386,4.234,4.286,-1.506937,4678135
2002-04-11,21.559998999999998,21.77,21.15,21.16,-7.439758,931415
2002-04-12,4.22,4.36,4.22,4.35,-1.52944,4611365
2002-04-15,4.36,4.37,4.282,4.36,-1.5329549999999998,2798795
2002-04-16,4.378,4.5,4.346,4.5,-1.582179,5110305
2002-04-17,4.49,4.494,4.402,4.402,-1.547723,4137190
2002-04-18,4.414,4.47,4.372,4.418,-1.553348,2816430
2002-04-19,21.91,22.25,21.870001000000002,21.959999,-7.721033,795729
2002-04-22,4.43,4.46,4.396,4.444,-1.56249,3232375
2002-04-23,4.462,4.564,4.456,4.564,-1.604681,5351480
2002-04-24,22.85,22.950001,22.540001,22.950001,-8.069114,1549390
2002-04-25,4.59,4.6,4.482,4.56,-1.603275,4779495
2002-04-26,4.59,4.59,4.502,4.514,-1.587102,5019940
2002-04-29,4.536,4.536,4.414,4.49,-1.578663,2497390
2002-04-30,22.530001000000002,22.889999,22.219998999999998,22.889999,-8.048016,663607
