Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,8.54,8.54,8.54,8.54,7.518705000000001,0
2002-01-02,8.27,8.36,8.12,8.27,7.280995,414236
2002-01-03,8.45,8.45,8.25,8.45,7.439469,299836
2002-01-04,8.44,8.56,8.36,8.44,7.430663000000001,357045
2002-01-07,8.6,8.69,8.49,8.6,7.57153,211264
2002-01-08,8.6,8.69,8.28,8.6,7.57153,211685
2002-01-09,8.47,8.59,8.41,8.47,7.457078,566928
2002-01-10,8.4,8.5,8.26,8.4,7.395447,355220
2002-01-11,8.45,8.67,8.31,8.45,7.439469,210614
2002-01-14,8.55,8.61,8.41,8.55,7.52751,164295
2002-01-15,8.45,8.5,8.41,8.45,7.439469,241495
2002-01-16,8.39,8.49,8.32,8.39,7.386644,271597
2002-01-17,8.52,8.52,8.32,8.52,7.501097,154341
2002-01-18,8.5,8.6,8.41,8.5,7.48349,329101
2002-01-21,8.4,8.57,8.37,8.4,7.395447,248176
2002-01-22,8.51,8.55,8.38,8.51,7.492292999999999,237192
2002-01-23,8.65,8.73,8.39,8.65,7.615549000000001,212224
2002-01-24,8.69,8.77,8.47,8.69,7.650766,404516
2002-01-25,8.6,8.74,8.52,8.6,7.57153,283601
2002-01-28,8.63,8.79,8.61,8.63,7.5979410000000005,172389
2002-01-29,8.6,8.76,8.56,8.6,7.57153,367237
2002-01-30,8.5,8.65,8.45,8.5,7.48349,150855
2002-01-31,8.55,8.7,8.5,8.55,7.52751,224005
2002-02-01,8.6,8.7,8.55,8.6,7.57153,227159
2002-02-04,8.47,8.59,8.43,8.47,7.457078,405298
2002-02-05,8.5,8.62,8.4,8.5,7.48349,293662
2002-02-06,8.44,8.63,8.37,8.44,7.430663000000001,492935
2002-02-07,8.1,8.49,8.0,8.1,7.131325,721071
2002-02-08,8.0,8.18,7.86,8.0,7.043284,619363
2002-02-11,8.05,8.1,7.95,8.05,7.087305000000001,366744
2002-02-12,8.04,8.12,7.96,8.04,7.0785,306518
2002-02-13,8.0,8.05,7.95,8.0,7.043284,219642
2002-02-14,8.0,8.09,7.94,8.0,7.043284,285929
2002-02-15,8.08,8.16,7.97,8.08,7.113716999999999,610426
2002-02-18,8.11,8.17,8.09,8.11,7.140128999999999,258722
2002-02-19,8.05,8.16,8.0,8.05,7.087305000000001,544807
2002-02-20,8.01,8.11,7.95,8.01,7.052088,203747
2002-02-21,8.0,8.11,7.92,8.0,7.043284,134743
2002-02-22,7.97,8.0,7.81,7.97,7.0168729999999995,156559
2002-02-25,8.0,8.04,7.83,8.0,7.043284,158324
2002-02-26,8.05,8.1,7.95,8.05,7.087305000000001,178646
2002-02-27,7.87,8.07,7.81,7.87,6.928831,740395
2002-02-28,7.81,7.92,7.66,7.81,6.876005999999999,601117
2002-03-01,7.84,7.95,7.76,7.8,6.867203,398111
2002-03-04,7.93,7.95,7.84,7.88,6.937636,648551
2002-03-05,7.93,8.08,7.9,8.0,7.043284,677076
2002-03-06,8.0,8.44,8.0,8.44,7.430663000000001,1327990
2002-03-07,8.45,8.65,8.44,8.6,7.57153,954692
2002-03-08,8.55,8.72,8.5,8.65,7.615549000000001,1204724
2002-03-11,8.74,9.09,8.6,9.09,8.002933,1092103
2002-03-12,9.09,9.11,8.7,8.7,7.659572,530183
2002-03-13,8.7,8.76,8.6,8.7,7.659572,182072
2002-03-14,8.59,8.82,8.59,8.73,7.6859850000000005,234005
2002-03-15,8.79,8.87,8.66,8.87,7.809239,392605
2002-03-18,8.9,8.95,8.77,8.9,7.835655,147822
2002-03-19,8.9,8.93,8.75,8.91,7.844457000000001,122267
2002-03-20,8.9,8.93,8.71,8.72,7.677181,183677
2002-03-21,8.6,8.85,8.6,8.7,7.659572,262361
2002-03-22,8.7,8.85,8.68,8.7,7.659572,147395
2002-03-25,8.8,8.82,8.55,8.55,7.52751,212638
2002-03-26,8.5,8.6,8.32,8.32,7.325015,370987
2002-03-27,8.35,8.49,8.35,8.49,7.474685000000001,236745
2002-03-28,8.49,8.49,8.49,8.49,7.474685000000001,0
2002-03-29,8.49,8.49,8.49,8.49,7.474685000000001,0
2002-04-01,8.49,8.49,8.49,8.49,7.474685000000001,0
2002-04-02,8.56,8.79,8.55,8.56,7.536314,211533
2002-04-03,8.6,8.7,8.46,8.6,7.57153,154846
2002-04-04,8.54,8.73,8.45,8.54,7.518705000000001,193469
2002-04-05,8.57,8.69,8.55,8.57,7.545119000000001,174682
2002-04-08,8.4,8.6,8.32,8.4,7.395447,300787
2002-04-09,8.46,8.5,8.39,8.46,7.4482740000000005,397934
2002-04-10,8.5,8.56,8.32,8.5,7.48349,426907
2002-04-11,8.55,8.72,8.46,8.55,7.52751,360864
2002-04-12,8.55,8.61,8.4,8.55,7.52751,192890
2002-04-15,8.52,8.63,8.43,8.52,7.501097,144370
2002-04-16,8.75,8.75,8.52,8.75,7.703593,424258
2002-04-17,8.7,8.8,8.68,8.7,7.659572,364726
2002-04-18,8.6,8.79,8.48,8.6,7.57153,366884
2002-04-19,8.71,8.78,8.55,8.71,7.668375999999999,598554
2002-04-22,8.6,8.79,8.57,8.6,7.57153,275611
2002-04-23,8.65,8.69,8.54,8.65,7.615549000000001,368059
2002-04-24,8.63,8.68,8.53,8.63,7.5979410000000005,299691
2002-04-25,8.4,8.66,8.4,8.4,7.395447,274859
2002-04-26,8.42,8.54,8.4,8.42,7.413056,116548
2002-04-29,8.37,8.5,8.35,8.37,7.369036,235832
2002-04-30,8.25,8.41,8.25,8.25,7.263386,371286
2002-05-01,8.25,8.25,8.25,8.25,7.263386,0
2002-05-02,8.05,8.3,8.05,8.05,7.087305000000001,252639
2002-05-03,8.09,8.18,7.96,8.09,7.122521000000001,544295
2002-05-06,8.1,8.22,8.02,8.1,7.131325,221728
